"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2020-01-06T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-06T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",980.69,"bereinigt"
"2020-01-06T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",4.54,"bereinigt"
"2020-01-06T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",1.15,"bereinigt"
"2020-01-06T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-06T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",978.3,"bereinigt"
"2020-01-06T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",4.12,"bereinigt"
"2020-01-07T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",4.08,"bereinigt"
"2020-01-07T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-07T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",978.29,"bereinigt"
"2020-01-07T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",32.82,"bereinigt"
"2020-01-07T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.39,"bereinigt"
"2020-01-07T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",4.26,"bereinigt"
"2020-01-07T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0.25,"bereinigt"
"2020-01-07T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",981.15,"bereinigt"
"2020-01-07T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",6.75,"bereinigt"
"2020-01-07T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",3.76,"bereinigt"
"2020-01-07T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-07T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",978.72,"bereinigt"
"2020-01-07T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",6.47,"bereinigt"
"2020-01-08T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",3.96,"bereinigt"
"2020-01-08T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-08T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",978.51,"bereinigt"
"2020-01-08T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",50.57,"bereinigt"
"2020-01-08T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.97,"bereinigt"
