Date,Moon Phase (%)
2019-11-22,26.698453903198242
2019-11-23,17.08277702331543
2019-11-24,9.237553596496582
2019-11-25,3.647690773010254
2019-11-26,0.6163020133972168
2019-11-27,0.22621458768844604
2019-11-28,2.345644235610962
2019-11-29,6.675360202789307
2019-11-30,12.818096160888672
2019-12-01,20.346216201782227
2019-12-02,28.85072898864746
2019-12-03,37.96611022949219
2019-12-04,47.374080657958984
2019-12-05,56.793331146240234
2019-12-06,65.96208953857422
2019-12-07,74.6193618774414
2019-12-08,82.4892578125
2019-12-09,89.27263641357422
2019-12-10,94.64974975585938
2019-12-11,98.29702758789062
2019-12-12,99.91841125488281
2019-12-13,99.28764343261719
2019-12-14,96.29254150390625
2019-12-15,90.96942901611328
2019-12-16,83.51737213134766
2019-12-17,74.28864288330078
2019-12-18,63.759918212890625
2019-12-19,52.49335479736328
2019-12-20,41.096073150634766
2019-12-21,30.18167495727539
2019-12-22,20.33283233642578
2019-12-23,12.062814712524414
2019-12-24,5.776899337768555
2019-12-25,1.7397034168243408
2019-12-26,0.05734831094741821
2019-12-27,0.6813293695449829
2019-12-28,3.434256076812744
2019-12-29,8.050115585327148
2019-12-30,14.217684745788574
2019-12-31,21.616762161254883
2020-01-01,29.941204071044922
2020-01-02,38.90750503540039
2020-01-03,48.250919342041016
2020-01-04,57.71255111694336
2020-01-05,67.0213623046875
2020-01-06,75.87528991699219
2020-01-07,83.92684936523438
2020-01-08,90.77970886230469
2020-01-09,96.0039291381836
2020-01-10,99.17545318603516
2020-01-11,99.93865203857422
2020-01-12,98.07950592041016
2020-01-13,93.58634185791016
2020-01-14,86.67437744140625
2020-01-15,77.76315307617188
2020-01-16,67.41627502441406
2020-01-17,56.266605377197266
2020-01-18,44.94948196411133
2020-01-19,34.055747985839844
2020-01-20,24.103992462158203
2020-01-21,15.525331497192383
2020-01-22,8.653892517089844
2020-01-23,3.7199745178222656
2020-01-24,0.846706211566925
2020-01-25,0.05300718545913696
2020-01-26,1.2648370265960693
2020-01-27,4.3341498374938965
2020-01-28,9.062213897705078
2020-01-29,15.222474098205566
2020-01-30,22.578407287597656
2020-01-31,30.89333152770996
2020-02-01,39.93085479736328
2020-02-02,49.446250915527344
2020-02-03,59.170257568359375
2020-02-04,68.78833770751953
2020-02-05,77.92059326171875
2020-02-06,86.11096954345703
2020-02-07,92.83763885498047
2020-02-08,97.55661010742188
2020-02-09,99.78231048583984
2020-02-10,99.19059753417969
2020-02-11,95.7091064453125
2020-02-12,89.55404663085938
2020-02-13,81.19398498535156
2020-02-14,71.25740051269531
2020-02-15,60.42475509643555
2020-02-16,49.34238815307617
2020-02-17,38.57392883300781
2020-02-18,28.584657669067383
2020-02-19,19.745206832885742
2020-02-20,12.341741561889648
2020-02-21,6.58491849899292
2020-02-22,2.6152985095977783
2020-02-23,0.5063509345054626
2020-02-24,0.26764440536499023
2020-02-25,1.8504488468170166
2020-02-26,5.156522274017334
2020-02-27,10.049057006835938
2020-02-28,16.36344337463379
2020-02-29,23.914976119995117
2020-03-01,32.50080871582031
2020-03-02,41.894309997558594
2020-03-03,51.83126449584961
2020-03-04,61.989261627197266
2020-03-05,71.96480560302734
2020-03-06,81.25770568847656
2020-03-07,89.27764892578125
2020-03-08,95.38970947265625
2020-03-09,99.00687408447266
2020-03-10,99.71414184570312
2020-03-11,97.37969207763672
2020-03-12,92.19973754882812
2020-03-13,84.65223693847656
2020-03-14,75.38359832763672
2020-03-15,65.0819091796875
2020-03-16,54.38240432739258
2020-03-17,43.8209228515625
2020-03-18,33.82661819458008
2020-03-19,24.73613739013672
2020-03-20,16.813833236694336
2020-03-21,10.26874828338623
2020-03-22,5.264888286590576
2020-03-23,1.9249746799468994
2020-03-24,0.3298322558403015
2020-03-25,0.516193151473999
2020-03-26,2.4753477573394775
2020-03-27,6.153940200805664
2020-03-28,11.456707000732422
2020-03-29,18.249500274658203
2020-03-30,26.36001968383789
2020-03-31,35.57352066040039
2020-04-01,45.62163162231445
2020-04-02,56.16433334350586
2020-04-03,66.76913452148438
2020-04-04,76.89717102050781
2020-04-05,85.91200256347656
2020-04-06,93.12882995605469
2020-04-07,97.91207885742188
2020-04-08,99.80368041992188
2020-04-09,98.63487243652344
2020-04-10,94.56781768798828
2020-04-11,88.04524993896484
2020-04-12,79.67549896240234
2020-04-13,70.10757446289062
2020-04-14,59.93991470336914
2020-04-15,49.67687225341797
2020-04-16,39.72372817993164
2020-04-17,30.402984619140625
2020-04-18,21.977083206176758
2020-04-19,14.668277740478516
2020-04-20,8.671562194824219
2020-04-21,4.15963888168335
2020-04-22,1.2808760404586792
2020-04-23,0.15239477157592773
2020-04-24,0.8509401679039001
2020-04-25,3.404107093811035
2020-04-26,7.783694744110107
2020-04-27,13.901521682739258
2020-04-28,21.60641098022461
2020-04-29,30.680021286010742
2020-04-30,40.82926559448242
2020-05-01,51.6748161315918
2020-05-02,62.739158630371094
2020-05-03,73.44308471679688
2020-05-04,83.12469482421875
2020-05-05,91.09455871582031
2020-05-06,96.72967529296875
2020-05-07,99.58654022216797
2020-05-08,99.491943359375
2020-05-09,96.5704574584961
2020-05-10,91.19611358642578
2020-05-11,83.89350891113281
2020-05-12,75.23200988769531
2020-05-13,65.7472915649414
2020-05-14,55.901885986328125
2020-05-15,46.07851028442383
2020-05-16,36.593040466308594
2020-05-17,27.715030670166016
2020-05-18,19.687570571899414
2020-05-19,12.741682052612305
2020-05-20,7.10288143157959
2020-05-21,2.9891088008880615
2020-05-22,0.6005918979644775
2020-05-23,0.10346024483442307
2020-05-24,1.610206961631775
2020-05-25,5.160815715789795
2020-05-26,10.707884788513184
2020-05-27,18.107437133789062
2020-05-28,27.11503028869629
2020-05-29,37.38540267944336
2020-05-30,48.474308013916016
2020-05-31,59.84408950805664
2020-06-01,70.87869262695312
2020-06-02,80.91661834716797
2020-06-03,89.30830383300781
2020-06-04,95.4947738647461
2020-06-05,99.090087890625
2020-06-06,99.93959045410156
2020-06-07,98.13057708740234
2020-06-08,93.95161437988281
2020-06-09,87.81868743896484
2020-06-10,80.19660949707031
2020-06-11,71.5382308959961
2020-06-12,62.250614166259766
2020-06-13,52.68600082397461
2020-06-14,43.14969253540039
2020-06-15,33.91661834716797
2020-06-16,25.24983787536621
2020-06-17,17.416091918945312
2020-06-18,10.694626808166504
2020-06-19,5.376387596130371
2020-06-20,1.751574993133545
2020-06-21,0.08541733771562576
2020-06-22,0.5850256085395813
2020-06-23,3.363492012023926
2020-06-24,8.409476280212402
2020-06-25,15.5697660446167
2020-06-26,24.548473358154297
2020-06-27,34.9215202331543
2020-06-28,46.16169738769531
2020-06-29,57.66989517211914
2020-06-30,68.81098175048828
2020-07-01,78.95560455322266
2020-07-02,87.52906036376953
2020-07-03,94.06381225585938
2020-07-04,98.24615478515625
2020-07-05,99.94395446777344
2020-07-06,99.20580291748047
2020-07-07,96.23138427734375
2020-07-08,91.32308197021484
2020-07-09,84.8337173461914
2020-07-10,77.12348175048828
2020-07-11,68.532958984375
2020-07-12,59.37303924560547
2020-07-13,49.92848205566406
2020-07-14,40.47067642211914
2020-07-15,31.274770736694336
2020-07-16,22.63677215576172
2020-07-17,14.885818481445312
2020-07-18,8.386281967163086
2020-07-19,3.524291515350342
2020-07-20,0.6750516295433044
2020-07-21,0.15237973630428314
2020-07-22,2.1495823860168457
2020-07-23,6.687915325164795
2020-07-24,13.590093612670898
2020-07-25,22.488718032836914
2020-07-26,32.86630630493164
2020-07-27,44.11294937133789
2020-07-28,55.585445404052734
2020-07-29,66.657470703125
2020-07-30,76.75830078125
2020-07-31,85.40241241455078
2020-08-01,92.21263122558594
2020-08-02,96.93668365478516
2020-08-03,99.45436096191406
2020-08-04,99.77227020263672
2020-08-05,98.00570678710938
2020-08-06,94.35087585449219
2020-08-07,89.05374908447266
2020-08-08,82.38198852539062
2020-08-09,74.60496520996094
2020-08-10,65.98418426513672
2020-08-11,56.77417755126953
2020-08-12,47.2322883605957
2020-08-13,37.6350212097168
2020-08-14,28.297195434570312
2020-08-15,19.588781356811523
2020-08-16,11.941812515258789
2020-08-17,5.837803840637207
2020-08-18,1.7669787406921387
2020-08-19,0.1578146070241928
2020-08-20,1.289538860321045
2020-08-21,5.215393543243408
2020-08-22,11.728494644165039
2020-08-23,20.386926651000977
2020-08-24,30.587730407714844
2020-08-25,41.65949630737305
2020-08-26,52.943031311035156
2020-08-27,63.84419631958008
2020-08-28,73.85942077636719
2020-08-29,82.58308410644531
2020-08-30,89.7066650390625
2020-08-31,95.01575469970703
2020-09-01,98.38651275634766
2020-09-02,99.7803955078125
2020-09-03,99.23541259765625
2020-09-04,96.85330963134766
2020-09-05,92.78365325927734
2020-09-06,87.20765686035156
2020-09-07,80.32466888427734
2020-09-08,72.34432220458984
2020-09-09,63.486045837402344
2020-09-10,53.98685073852539
2020-09-11,44.11684799194336
2020-09-12,34.20025634765625
2020-09-13,24.636743545532227
2020-09-14,15.913877487182617
2020-09-15,8.596963882446289
2020-09-16,3.2819671630859375
2020-09-17,0.5062118172645569
2020-09-18,0.633017897605896
2020-09-19,3.751160144805908
2020-09-20,9.636302947998047
2020-09-21,17.795665740966797
2020-09-22,27.574207305908203
2020-09-23,38.274070739746094
2020-09-24,49.245704650878906
2020-09-25,59.9353141784668
2020-09-26,69.89579772949219
2020-09-27,78.77711486816406
2020-09-28,86.310546875
2020-09-29,92.29515075683594
2020-09-30,96.58934020996094
2020-10-01,99.10675811767578
2020-10-02,99.81398010253906
2020-10-03,98.7278060913086
2020-10-04,95.91061401367188
2020-10-05,91.46373748779297
2020-10-06,85.52042388916016
2020-10-07,78.24070739746094
2020-10-08,69.81071472167969
2020-10-09,60.448795318603516
2020-10-10,50.419551849365234
2020-10-11,40.05476760864258
2020-10-12,29.776763916015625
2020-10-13,20.1138973236084
2020-10-14,11.691920280456543
2020-10-15,5.183000564575195
2020-10-16,1.204516887664795
2020-10-17,0.1866217404603958
2020-10-18,2.2583584785461426
2020-10-19,7.208499431610107
2020-10-20,14.542838096618652
2020-10-21,23.607147216796875
2020-10-22,33.71738052368164
2020-10-23,44.25202560424805
2020-10-24,54.69392395019531
2020-10-25,64.63285064697266
2020-10-26,73.74775695800781
2020-10-27,81.78411865234375
2020-10-28,88.53534698486328
2020-10-29,93.83161163330078
2020-10-30,97.53590393066406
2020-10-31,99.54544830322266
2020-11-01,99.7958984375
2020-11-02,98.26556396484375
2020-11-03,94.97795104980469
2020-11-04,90.00223541259766
2020-11-05,83.45263671875
2020-11-06,75.48900604248047
2020-11-07,66.32148742675781
2020-11-08,56.22136306762695
2020-11-09,45.538211822509766
2020-11-10,34.71955490112305
2020-11-11,24.322961807250977
2020-11-12,15.00442886352539
2020-11-13,7.465308666229248
2020-11-14,2.351156234741211
2020-11-15,0.12248018383979797
2020-11-16,0.9461284875869751
2020-11-17,4.659769058227539
2020-11-18,10.827569007873535
2020-11-19,18.85647201538086
2020-11-20,28.118568420410156
2020-11-21,38.03821563720703
2020-11-22,48.131996154785156
2020-11-23,58.01142501831055
2020-11-24,67.36541748046875
2020-11-25,75.93678283691406
2020-11-26,83.50155639648438
2020-11-27,89.85527038574219
2020-11-28,94.80765533447266
2020-11-29,98.1850814819336
2020-11-30,99.83921813964844
2020-12-01,99.65922546386719
2020-12-02,97.58457946777344
2020-12-03,93.61590576171875
2020-12-04,87.8223876953125
2020-12-05,80.34613800048828
2020-12-06,71.4056396484375
2020-12-07,61.30061340332031
2020-12-08,50.41952133178711
2020-12-09,39.24712371826172
2020-12-10,28.36433982849121
2020-12-11,18.427879333496094
2020-12-12,10.117240905761719
2020-12-13,4.046821594238281
2020-12-14,0.661045491695404
2020-12-15,0.1496131718158722
2020-12-16,2.420259952545166
2020-12-17,7.141197204589844
2020-12-18,13.83145809173584
2020-12-19,21.959806442260742
2020-12-20,31.020099639892578
2020-12-21,40.57088851928711
2020-12-22,50.24372100830078
2020-12-23,59.73165512084961
2020-12-24,68.7691879272461
2020-12-25,77.11170959472656
2020-12-26,84.51942443847656
2020-12-27,90.74886322021484
2020-12-28,95.5535659790039
2020-12-29,98.6946792602539
