,Datum,Average_Temperature,Max_Temperature,Total_Rain_Duration,Average_Pressure,Average_Global_Radiation,Cloudiness,Moon Phase (%),IsVacationAargau,IsVacationZug,IsVacationSchwyz,IsVacationSt_gallen,IsVacationThurgau,IsVacationSchaffhausen,publicHolidayAargau,publicHolidayZug,publicHolidaySchwyz,publicHolidayStGallen,publicHolidayThurgau,publicHolidaySchaffhausen,publicHolidayZurich,Date_Occurrences,Weekday,Aargau_Week_After_Holiday,Aargau_First_Week_of_Holiday,Zug_Week_After_Holiday,Zug_First_Week_of_Holiday,Schwyz_Week_After_Holiday,Schwyz_First_Week_of_Holiday,St_gallen_Week_After_Holiday,St_gallen_First_Week_of_Holiday,Schaffhausen_Week_After_Holiday,Schaffhausen_First_Week_of_Holiday,Thurgau_Week_After_Holiday,Thurgau_First_Week_of_Holiday,Zurich_Week_After_Holiday,Zurich_First_Week_of_Holiday,Average_Temperature_5day_mean,Max_Temperature_5day_mean,Total_Rain_Duration_5day_mean,Average_Pressure_5day_mean,Average_Global_Radiation_5day_mean,Cloudiness_5day_mean
40,2019-02-10,6.8,11.47,153.10666666666663,958.48,34.18,0.6552733333333333,22.198562622070312,0,1,0,0,0,0,0,0,0,0,0,0,0,2,Sunday,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0973333333333333,4.408666666666667,105.146,971.668,52.3,0.6492333333333333
41,2019-02-11,3.47,5.266666666666667,192.03333333333333,970.6333333333332,55.98,0.6480066666666667,30.878246307373047,0,1,0,0,0,0,0,0,0,0,0,0,0,12,Monday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.6206666666666663,6.703333333333333,135.7673333333333,967.784,54.160000000000004,0.6486133333333333
42,2019-02-12,3.5766666666666667,6.076666666666667,0.0,983.5233333333332,93.24,0.6355866666666666,40.515357971191406,0,1,0,0,0,0,0,0,0,0,0,0,0,7,Tuesday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.625333333333334,7.858666666666666,174.174,966.6966666666667,60.63599999999999,0.6464546666666667
43,2019-02-13,2.953333333333333,7.98,0.0,985.2766666666666,120.24,0.6265866666666667,50.81550979614258,0,1,0,0,0,0,0,0,0,0,0,0,0,10,Wednesday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.11,8.161333333333333,77.3,969.5393333333334,73.59,0.6421366666666667
44,2019-02-14,4.463333333333334,10.493333333333334,0.0,985.1033333333334,128.82,0.6237266666666667,61.40598678588867,0,1,0,0,0,0,0,0,0,0,0,0,0,16,Thursday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.883333333333333,8.242,77.3,972.758,76.424,0.641192
45,2019-02-15,5.073333333333333,11.176666666666668,0.0,981.8066666666668,130.33,0.6232233333333334,71.81525421142578,0,1,0,0,0,0,0,0,0,0,0,0,0,12,Friday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.252666666666666,8.257333333333333,69.02799999999999,976.6033333333332,86.49199999999999,0.637836
46,2019-02-16,5.890000000000001,12.87,0.0,979.0733333333332,138.28,0.6205733333333333,81.46527862548828,0,1,0,0,0,0,0,0,0,0,0,0,0,5,Saturday,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.9073333333333338,8.198666666666668,38.406666666666666,981.2686666666666,105.72200000000001,0.631426
47,2019-02-17,6.3566666666666665,13.340000000000002,0.0,975.7266666666666,140.58,0.6198066666666667,89.69448852539062,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.391333333333334,9.719333333333335,0.0,982.9566666666666,122.18199999999999,0.6259393333333333
48,2019-02-18,6.546666666666667,13.51,0.0,971.5166666666668,138.22,0.6205933333333333,95.82750701904295,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Monday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.947333333333334,11.172,0.0,981.3973333333333,131.65,0.6227833333333334
49,2019-02-19,7.913333333333334,12.926666666666668,0.0,971.7366666666668,129.48,0.6235066666666667,99.29060363769533,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Tuesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.666,12.278,0.0,978.6453333333333,135.246,0.6215846666666667
